"Palavra,Classificacao"
"a caminho, substantivo"
"a capella, substantivo"
"a deus, substantivo"
"a go go, substantivo"
"a priori, substantivo"
"aa, substantivo"
"aarao, substantivo"
"aaronico, substantivo"
"ab-repticio, substantivo"
"ab-rogar, verbo"
"aba, substantivo"
"abacate, substantivo"
"abacaxi, substantivo"
"abaco, substantivo"
"abada, substantivo"
"abadia, substantivo"
"abafar, verbo"
"abaixo, substantivo"
"abajur, verbo"
"abalizado, substantivo"
"abalo, substantivo"
"abalroar, verbo"
"abandono, substantivo"
"abantesma, substantivo"
"abarcar, verbo"
"abarroar, verbo"
"abastado, substantivo"
"abastecer, verbo"
"abater, verbo"
"abaxial, substantivo"
"abdicar, verbo"
"abdome, substantivo"
"abdomen, substantivo"
"abducao, substantivo"
"abdutores, substantivo"
"abel, substantivo"
"abelardo, substantivo"
"abelha, substantivo"
"abelhas, substantivo"
"abencoado, substantivo"
"abencoar, verbo"
"aberracao, substantivo"
"abertura, substantivo"
"abesana, substantivo"
"abespinhar, verbo"
"abigail, substantivo"
"abigeato, substantivo"
"abilio, substantivo"
"abiogenese, substantivo"
"abiotico, substantivo"
"abismado, substantivo"
"abismar, verbo"
"abismo, substantivo"
"abitolar, verbo"
"abject, substantivo"
"abjeto, substantivo"
"ablativo, substantivo"
"ablucao, substantivo"
"abnegacao, substantivo"
"abnegado, substantivo"
"abobada, substantivo"
"abobora, substantivo"
"aboletar, verbo"
"abolicao, substantivo"
"abolido, substantivo"
"abombado, substantivo"
"abominacao, substantivo"
"abominar, verbo"
"abono, substantivo"
"abordagem, substantivo"
"abordar, verbo"
"aborigine, substantivo"
"aborrecido, substantivo"
"aborrecimento, substantivo"
"aborto, substantivo"
"about, substantivo"
"abraao, substantivo"
"abracadabra, substantivo"
"abraco, substantivo"
"abrangente, substantivo"
"abrasao, substantivo"
"abrasar, verbo"
"abreviacao, substantivo"
"abreviatura, substantivo"
"abrico, substantivo"
"abrigo, substantivo"
"abril, substantivo"
"abrir, verbo"
"abrolho, substantivo"
"abrupto, substantivo"
"absalao, substantivo"
"abscesso, substantivo"
"abscissa, substantivo"
"absconder, verbo"
"abscopal, substantivo"
"absenteismo, substantivo"
"absinto, substantivo"
"absolucao, substantivo"
"absolutismo, substantivo"
"absolutista, substantivo"
"absoluto, substantivo"
"absolver, verbo"
"absolvicao, substantivo"
"absorto, substantivo"
"absorver, verbo"
"abstencao, substantivo"
"abster-se, substantivo"
"absterso, substantivo"
"abstinencia, substantivo"
"abstrair, verbo"
"abstrato, substantivo"
"abstruso, substantivo"
"absurdo, substantivo"
"abugida, substantivo"
"abulia, substantivo"
"abulico, substantivo"
"abundancia, substantivo"
"abundante, substantivo"
"abundar, verbo"
"abusao, substantivo"
"abuso, substantivo"
"abutre, substantivo"
"acabar, verbo"
"acabrunhar, verbo"
"acacal, substantivo"
"acacapante, substantivo"
"acachapante, substantivo"
"acacia, substantivo"
"academia, substantivo"
"academico, substantivo"
"acafrao, substantivo"
"acai, substantivo"
"acaimo, substantivo"
"acalanto, substantivo"
"acalentar, verbo"
"acalmar, verbo"
"acambarcar, verbo"
"acampamento, substantivo"
"acampar, verbo"
"acanalhar, verbo"
"acanhar, verbo"
"acantose, substantivo"
"acao, substantivo"
"acaraje, substantivo"
"acarear, verbo"
"acaro, substantivo"
"acarretamento, substantivo"
"acarretar, verbo"
"acasalar, verbo"
"acaso, substantivo"
"acatalepsia, substantivo"
"acatar, verbo"
"acatisia, substantivo"
"acaua, substantivo"
"accent, substantivo"
"accipitrideo, substantivo"
"ace, substantivo"
"aceder, verbo"
"acefalo, substantivo"
"aceitacao, substantivo"
"aceitar, verbo"
"aceleracao, substantivo"
"acelerador, verbo"
"acem, substantivo"
"acendalha, substantivo"
"acender, verbo"
"acento, substantivo"
"acento grave, substantivo"
"acepcao, substantivo"
"acepipe, substantivo"
"acerbo, substantivo"
"acerola, substantivo"
"acertar, verbo"
"acerto, substantivo"
"acervo, substantivo"
"acessao, substantivo"
"acessivel, substantivo"
"acesso, substantivo"
"acessorio, substantivo"
"acessorista, substantivo"
"acetabulo, substantivo"
"acetilcolina, substantivo"
"acetilconina, substantivo"
"acetona, substantivo"
"acha, substantivo"
"achacar, verbo"
"achar, verbo"
"achegar, verbo"
"acheter, verbo"
"achieve, substantivo"
"achincalhar, verbo"
"-acia, substantivo"
"acicate, substantivo"
"acicufoliado, substantivo"
"acidente, substantivo"
"acidez, substantivo"
"acidia, substantivo"
"acido, substantivo"
"acidose, substantivo"
"acila, substantivo"
"acilacao, substantivo"
"acino, substantivo"
"acinoso, substantivo"
"acinte, substantivo"
"acionar, verbo"
"acirrar, verbo"
"aclamacao, substantivo"
"aclopsia, substantivo"
"acloropsia, substantivo"
"acne, substantivo"
"aco, substantivo"
"acobilhar, verbo"
"acochambrar, verbo"
"acodar, verbo"
"acoimar, verbo"
"acoite, substantivo"
"acola, substantivo"
"acolher, verbo"
"acolito, substantivo"
"acomodacao, substantivo"
"acomodar, verbo"
"acompanhar, verbo"
"aconchegar, verbo"
"acondicionar, verbo"
"aconselhamento, substantivo"
"acontecer, verbo"
"acoplar, verbo"
"acorda, substantivo"
"acordao, substantivo"
"acordar, verbo"
"acorde, substantivo"
"acordo, substantivo"
"acossar, verbo"
"acostamento, substantivo"
"acougue, substantivo"
"acquaintance, substantivo"
"acrasiomiceto, substantivo"
"acre, substantivo"
"acreditar, verbo"
"acrescimo, substantivo"
"acrestico, substantivo"
"acreta, substantivo"
"acrico, substantivo"
"acrimonia, substantivo"
"acrisolar, verbo"
"acroamatico, substantivo"
"acrobata, substantivo"
"acrocomia, substantivo"
"acrocordon, substantivo"
"acromegalia, substantivo"
"acromia, substantivo"
"acromio, substantivo"
"acronimo, substantivo"
"acropole, substantivo"
"acrossoma, substantivo"
"acrostico, substantivo"
"actina, substantivo"
"actinomiceto, substantivo"
"acuado, substantivo"
"acuar, verbo"
"acucar, verbo"
"acude, substantivo"
"acudir, verbo"
"acuidade, substantivo"
"acular, verbo"
"aculeo, substantivo"
"acuminado, substantivo"
"acumular, verbo"
"acupuntura, substantivo"
"acuracia, substantivo"
"acurado, substantivo"
"acusar, verbo"
"acustico, substantivo"
"ad-, substantivo"
"ad libitum, substantivo"
"ad nauseam, substantivo"
"adaga, substantivo"
"adagio, substantivo"
"adagio1, substantivo"
"adagio2, substantivo"
"adalberto, substantivo"
"adalgisa, substantivo"
"adalvino, substantivo"
"adao, substantivo"
"adaptacao, substantivo"
"adaptar, verbo"
"adaptavel, substantivo"
"adarga, substantivo"
"adaxial, substantivo"
"addiction, substantivo"
"adedonha, substantivo"
"adega, substantivo"
"adejar, verbo"
"adela, substantivo"
"adelgicio, substantivo"
"adelia, substantivo"
"adelino, substantivo"
"adelmira, substantivo"
"adelmo, substantivo"
"adelo, substantivo"
"ademane, substantivo"
"adendo, substantivo"
"adenina, substantivo"
"adenizar, verbo"
"adenoide, substantivo"
"adenosina, substantivo"
"adepto, substantivo"
"adequacao, substantivo"
"adequado, substantivo"
"adequar, verbo"
"aderencia, substantivo"
"aderir, verbo"
"adesao, substantivo"
"adesivo, substantivo"
"adesso, substantivo"
"adestrar, verbo"
"adeus, substantivo"
"adevao, substantivo"
"adhocracia, substantivo"
"adiabatico, substantivo"
"adiafora, substantivo"
"adiantar, verbo"
"adiar, verbo"
"adicao, substantivo"
"adicional, substantivo"
"adicto, substantivo"
"adido, substantivo"
"adiles, substantivo"
"adipico, substantivo"
"adiposo, substantivo"
"adipoxantose, substantivo"
"aditivo, substantivo"
"adito, substantivo"
"adivinhar, verbo"
"adjacente, substantivo"
"adjetivo, substantivo"
"adjudicar, verbo"
"adjunto, substantivo"
"adjuntor, verbo"
"adjutor, verbo"
"adjuvante, substantivo"
"administracao, substantivo"
"administrar, verbo"
"admirado, substantivo"
"admirando, substantivo"
"admirar, verbo"
"admiravel, substantivo"
"admissao, substantivo"
"admoestar, verbo"
"admonenda, substantivo"
"admonitorio, substantivo"
"adnominal, substantivo"
"adobe, substantivo"
"adocao, substantivo"
"adocionismo, substantivo"
"adoecer, verbo"
"adolescencia, substantivo"
"adolescente, substantivo"
"adonai, substantivo"
"adonias, substantivo"
"adoracao, substantivo"
